,Date,Temp
1433,1984-12-04,11.0
655,1982-10-18,5.8
1962,1986-05-18,10.9
3179,1989-09-17,9.9
2930,1989-01-11,12.6
1545,1985-03-27,11.3
2653,1988-04-08,9.4
3516,1990-08-20,9.7
2441,1987-09-09,10.3
1535,1985-03-17,16.2
362,1981-12-29,15.6
192,1981-07-12,5.7
3186,1989-09-24,6.3
976,1983-09-04,5.7
2185,1986-12-27,14.6
3047,1989-05-08,10.5
2030,1986-07-25,2.5
1804,1985-12-11,15.8
1174,1984-03-20,14.0
1840,1986-01-16,14.6
147,1981-05-28,11.2
642,1982-10-05,4.7
637,1982-09-30,6.3
2517,1987-11-24,11.6
836,1983-04-17,6.7
1677,1985-08-06,10.4
116,1981-04-27,9.9
2713,1988-06-07,8.7
1419,1984-11-20,14.2
1247,1984-06-01,9.0
1588,1985-05-09,11.0
422,1982-02-27,10.4
3123,1989-07-23,3.1
1184,1984-03-30,15.3
2144,1986-11-16,15.0
3269,1989-12-16,12.6
1963,1986-05-19,12.0
2874,1988-11-15,8.6
1772,1985-11-09,15.4
60,1981-03-02,18.6
1266,1984-06-20,2.2
726,1982-12-28,16.3
745,1983-01-16,12.7
3420,1990-05-16,8.9
159,1981-06-09,4.6
937,1983-07-27,12.3
49,1981-02-19,16.1
891,1983-06-11,4.7
670,1982-11-02,6.9
3325,1990-02-10,17.6
466,1982-04-12,12.4
201,1981-07-21,12.0
3525,1990-08-29,11.6
1294,1984-07-18,8.0
1459,1984-12-30,16.4
162,1981-06-12,7.7
2218,1987-01-29,11.0
2447,1987-09-15,9.8
2054,1986-08-18,7.3
1981,1986-06-06,10.6
1480,1985-01-21,12.4
658,1982-10-21,8.7
557,1982-07-12,7.5
107,1981-04-18,13.2
3089,1989-06-19,10.1
210,1981-07-30,3.5
267,1981-09-25,7.6
3497,1990-08-01,6.8
1863,1986-02-08,15.8
2200,1987-01-11,13.0
2452,1987-09-20,7.8
3277,1989-12-24,12.7
3540,1990-09-13,9.8
1714,1985-09-12,11.7
1067,1983-12-04,13.2
3149,1989-08-18,6.6
2820,1988-09-22,16.6
1875,1986-02-20,14.0
1168,1984-03-14,12.1
1800,1985-12-07,18.2
2196,1987-01-07,16.8
2462,1987-09-30,11.2
1033,1983-10-31,9.8
724,1982-12-26,13.0
2755,1988-07-19,9.3
2652,1988-04-07,14.7
2315,1987-05-06,11.8
579,1982-08-03,9.1
2364,1987-06-24,9.4
512,1982-05-28,14.0
381,1982-01-17,24.0
958,1983-08-17,8.3
180,1981-06-30,9.5
426,1982-03-03,9.8
1389,1984-10-21,6.5
728,1982-12-30,17.7
2851,1988-10-23,9.7
341,1981-12-08,12.6
1779,1985-11-16,9.6
875,1983-05-26,6.5
2263,1987-03-15,10.8
1737,1985-10-05,16.2
450,1982-03-27,17.2
3410,1990-05-06,13.3
2087,1986-09-20,6.6
2707,1988-06-01,10.0
3367,1990-03-24,17.4
712,1982-12-14,15.2
2571,1988-01-17,15.5
1889,1986-03-06,16.8
1040,1983-11-07,13.6
241,1981-08-30,5.5
2093,1986-09-26,12.5
3414,1990-05-10,13.7
2260,1987-03-12,11.8
2549,1987-12-26,12.7
1309,1984-08-02,10.2
804,1983-03-16,13.2
661,1982-10-24,8.0
475,1982-04-21,7.8
51,1981-02-21,16.6
2147,1986-11-19,10.7
1366,1984-09-28,5.5
3094,1989-06-24,5.3
969,1983-08-28,6.7
1809,1985-12-16,13.6
3344,1990-03-01,19.3
3027,1989-04-18,12.0
1644,1985-07-04,7.3
2765,1988-07-29,7.1
2902,1988-12-13,15.7
744,1983-01-15,12.7
3609,1990-11-21,15.0
787,1983-02-27,20.4
3594,1990-11-06,18.3
2518,1987-11-25,9.9
2796,1988-08-29,9.7
3035,1989-04-26,11.9
2131,1986-11-03,9.1
3237,1989-11-14,11.4
3379,1990-04-05,14.2
881,1983-06-01,11.0
2162,1986-12-04,15.4
3549,1990-09-22,6.8
1736,1985-10-04,11.4
2183,1986-12-25,10.5
1261,1984-06-15,11.1
1657,1985-07-17,7.5
3,1981-01-04,14.6
1331,1984-08-24,6.7
1445,1984-12-16,12.1
1140,1984-02-15,14.6
974,1983-09-02,10.6
504,1982-05-20,7.6
293,1981-10-21,13.2
3023,1989-04-14,12.9
2012,1986-07-07,6.6
1094,1983-12-31,18.0
2595,1988-02-10,12.1
3003,1989-03-25,13.2
615,1982-09-08,9.8
1669,1985-07-29,10.3
133,1981-05-14,6.6
3271,1989-12-18,17.3
1628,1985-06-18,7.3
1750,1985-10-18,12.8
556,1982-07-11,4.0
2776,1988-08-09,8.6
851,1983-05-02,13.5
829,1983-04-10,15.2
1903,1986-03-20,17.0
1792,1985-11-29,12.5
69,1981-03-11,12.2
2673,1988-04-28,17.6
222,1981-08-11,3.0
1627,1985-06-17,8.5
1204,1984-04-19,13.2
199,1981-07-19,7.4
1416,1984-11-17,12.7
1769,1985-11-06,17.1
630,1982-09-23,6.3
3301,1990-01-17,11.5
3045,1989-05-06,10.3
1912,1986-03-29,11.7
1917,1986-04-03,15.0
2838,1988-10-10,12.3
2319,1987-05-10,9.8
676,1982-11-08,11.3
1166,1984-03-12,15.6
2528,1987-12-05,12.7
1285,1984-07-09,8.8
639,1982-10-02,6.1
424,1982-03-01,11.9
691,1982-11-23,13.7
3591,1990-11-03,13.0
2519,1987-11-26,10.8
2322,1987-05-13,16.5
593,1982-08-17,9.2
1085,1983-12-22,12.2
2276,1987-03-28,15.6
1225,1984-05-10,9.5
126,1981-05-07,12.0
1315,1984-08-08,11.6
2092,1986-09-25,11.3
2313,1987-05-04,11.2
2420,1987-08-19,4.3
1529,1985-03-11,21.0
2390,1987-07-20,6.3
3604,1990-11-16,12.3
1764,1985-11-01,7.4
1676,1985-08-05,11.4
1061,1983-11-28,15.8
3050,1989-05-11,13.7
2135,1986-11-07,8.6
1843,1986-01-19,12.8
468,1982-04-14,16.1
3641,1990-12-23,13.9
1381,1984-10-13,9.4
1693,1985-08-22,5.7
1293,1984-07-17,7.2
952,1983-08-11,9.9
581,1982-08-05,2.2
1375,1984-10-07,16.0
1221,1984-05-06,3.5
1773,1985-11-10,13.2
1257,1984-06-11,8.2
2688,1988-05-13,10.6
1974,1986-05-30,9.5
2278,1987-03-30,10.8
872,1983-05-23,7.8
2274,1987-03-26,13.0
2498,1987-11-05,10.8
2982,1989-03-04,19.6
1185,1984-03-31,11.1
2289,1987-04-10,7.3
488,1982-05-04,13.8
727,1982-12-29,15.8
2928,1989-01-09,16.3
1330,1984-08-23,9.3
3601,1990-11-13,13.8
170,1981-06-20,3.8
638,1982-10-01,8.6
2258,1987-03-10,11.3
2732,1988-06-26,8.0
3012,1989-04-03,14.2
2176,1986-12-18,10.3
1491,1985-02-01,14.9
2318,1987-05-09,9.6
2314,1987-05-05,11.3
917,1983-07-07,8.5
1830,1986-01-06,12.6
1556,1985-04-07,16.2
2629,1988-03-15,13.4
388,1982-01-24,17.0
1848,1986-01-24,11.8
717,1982-12-19,13.0
139,1981-05-20,2.1
1983,1986-06-08,10.0
517,1982-06-02,9.0
2182,1986-12-24,13.4
2816,1988-09-18,10.0
1617,1985-06-07,8.2
2301,1987-04-22,7.8
2001,1986-06-26,6.9
1299,1984-07-23,8.1
2663,1988-04-18,12.7
325,1981-11-22,10.1
3390,1990-04-16,10.2
2081,1986-09-14,11.0
2641,1988-03-27,15.5
119,1981-04-30,7.4
163,1981-06-13,10.4
321,1981-11-18,11.9
2954,1989-02-04,15.7
2848,1988-10-20,15.6
92,1981-04-03,17.5
830,1983-04-11,15.5
3196,1989-10-04,9.5
2133,1986-11-05,21.0
2559,1988-01-05,13.6
2474,1987-10-12,4.9
720,1982-12-22,10.8
3626,1990-12-08,15.5
3565,1990-10-08,6.0
2640,1988-03-26,16.7
1548,1985-03-30,14.0
1351,1984-09-13,5.8
2124,1986-10-27,9.0
885,1983-06-05,5.6
4,1981-01-05,15.8
1273,1984-06-27,7.7
1207,1984-04-22,13.2
5,1981-01-06,15.8
2487,1987-10-25,13.5
800,1983-03-12,21.1
382,1982-01-18,18.0
3528,1990-09-01,6.0
2307,1987-04-28,16.8
955,1983-08-14,8.5
2254,1987-03-06,17.6
3634,1990-12-16,13.6
1969,1986-05-25,8.5
1585,1985-05-06,15.4
633,1982-09-26,7.7
103,1981-04-14,13.0
2072,1986-09-05,10.9
2601,1988-02-16,11.8
566,1982-07-21,0.8
17,1981-01-18,24.8
2454,1987-09-22,9.5
3438,1990-06-03,8.4
883,1983-06-03,5.3
1634,1985-06-24,1.6
297,1981-10-25,8.4
910,1983-06-30,5.5
619,1982-09-12,9.0
2186,1986-12-28,14.2
2973,1989-02-23,13.0
3260,1989-12-07,16.0
2508,1987-11-15,9.5
520,1982-06-05,0.0
541,1982-06-26,0.8
3110,1989-07-10,8.0
3621,1990-12-03,16.2
1014,1983-10-12,12.5
3483,1990-07-18,11.2
2709,1988-06-03,11.1
2395,1987-07-25,2.9
3157,1989-08-26,6.2
1619,1985-06-09,6.5
3638,1990-12-20,15.4
2720,1988-06-14,8.9
132,1981-05-13,5.3
1698,1985-08-27,7.2
288,1981-10-16,10.2
2773,1988-08-06,6.7
2921,1989-01-02,17.4
249,1981-09-07,11.2
2613,1988-02-28,16.2
2385,1987-07-15,8.9
3156,1989-08-25,7.4
1557,1985-04-08,16.0
2770,1988-08-03,9.4
3124,1989-07-24,5.3
407,1982-02-12,17.0
1037,1983-11-04,11.0
1989,1986-06-14,7.0
1674,1985-08-03,6.3
1900,1986-03-17,11.6
2506,1987-11-13,13.0
2691,1988-05-16,11.7
3564,1990-10-07,9.8
3084,1989-06-14,9.5
3419,1990-05-15,9.5
868,1983-05-19,7.4
2592,1988-02-07,9.2
3581,1990-10-24,12.4
2672,1988-04-27,13.7
1858,1986-02-03,10.7
754,1983-01-25,10.6
521,1982-06-06,1.6
714,1982-12-16,13.9
473,1982-04-19,7.4
1342,1984-09-04,8.0
2753,1988-07-17,8.0
3134,1989-08-03,8.1
1584,1985-05-05,13.6
2064,1986-08-28,9.7
2050,1986-08-14,5.3
470,1982-04-16,14.2
2481,1987-10-19,11.3
1359,1984-09-21,6.2
3131,1989-07-31,7.6
1039,1983-11-06,7.5
1765,1985-11-02,11.2
3452,1990-06-17,9.3
3520,1990-08-24,7.6
3488,1990-07-23,9.8
2216,1987-01-27,12.9
1242,1984-05-27,6.2
3448,1990-06-13,11.4
3593,1990-11-05,12.5
2809,1988-09-11,11.5
849,1983-04-30,12.0
2415,1987-08-14,9.1
2956,1989-02-06,13.2
591,1982-08-15,6.0
2511,1987-11-18,18.4
3343,1990-02-28,19.1
1507,1985-02-17,13.0
1239,1984-05-24,8.5
1767,1985-11-04,12.6
1106,1984-01-12,14.3
1255,1984-06-09,3.9
2887,1988-11-28,11.4
826,1983-04-07,6.7
1222,1984-05-07,5.7
1220,1984-05-05,3.3
950,1983-08-09,10.5
1431,1984-12-02,10.8
3195,1989-10-03,5.1
3115,1989-07-15,1.8
1799,1985-12-06,14.6
3364,1990-03-21,12.5
1748,1985-10-16,16.0
32,1981-02-02,18.8
2565,1988-01-11,18.3
478,1982-04-24,16.5
1398,1984-10-30,8.5
1356,1984-09-18,8.9
1042,1983-11-09,10.9
1154,1984-02-29,13.5
1605,1985-05-26,5.5
2367,1987-06-27,9.3
396,1982-02-01,14.6
1877,1986-02-22,14.5
2943,1989-01-24,12.5
2597,1988-02-12,16.3
1411,1984-11-12,12.0
1127,1984-02-02,11.1
2331,1987-05-22,6.6
2762,1988-07-26,8.5
3256,1989-12-03,13.7
2836,1988-10-08,11.1
2393,1987-07-23,6.7
2697,1988-05-22,9.4
945,1983-08-04,8.3
172,1981-06-22,7.1
3392,1990-04-18,13.2
59,1981-03-01,17.8
3151,1989-08-20,8.1
1807,1985-12-14,13.6
3142,1989-08-11,7.3
2951,1989-02-01,16.1
609,1982-09-02,10.0
2772,1988-08-05,5.1
2678,1988-05-03,14.9
1749,1985-10-17,15.1
1880,1986-02-25,12.5
1977,1986-06-02,4.3
1820,1985-12-27,11.5
2192,1987-01-03,15.3
1420,1984-11-21,10.0
1756,1985-10-24,10.0
2077,1986-09-10,9.1
856,1983-05-07,11.6
3117,1989-07-17,5.3
2766,1988-07-30,8.4
2685,1988-05-10,11.0
1606,1985-05-27,8.1
1911,1986-03-28,12.8
617,1982-09-10,5.0
2566,1988-01-12,18.3
768,1983-02-08,22.5
2860,1988-11-01,13.2
1625,1985-06-15,7.1
3070,1989-05-31,6.6
1976,1986-06-01,10.9
1328,1984-08-21,8.3
2586,1988-02-01,14.1
2797,1988-08-30,9.0
1650,1985-07-10,4.9
1518,1985-02-28,11.0
3017,1989-04-08,11.9
3099,1989-06-29,2.4
584,1982-08-08,3.8
873,1983-05-24,13.2
1246,1984-05-31,8.7
1533,1985-03-15,21.4
1716,1985-09-14,11.0
2987,1989-03-09,21.4
2577,1988-01-23,15.6
546,1982-07-01,4.2
480,1982-04-26,6.9
3107,1989-07-07,6.2
3130,1989-07-30,8.0
904,1983-06-24,8.0
3647,1990-12-29,13.5
42,1981-02-12,13.9
2173,1986-12-15,8.5
1506,1985-02-16,14.8
2121,1986-10-24,7.5
2141,1986-11-13,12.0
3261,1989-12-08,16.5
2341,1987-06-01,8.5
2812,1988-09-14,5.2
2661,1988-04-16,8.3
3034,1989-04-25,11.0
1254,1984-06-08,10.1
887,1983-06-07,9.6
671,1982-11-03,9.5
3222,1989-10-30,13.5
580,1982-08-04,2.8
1781,1985-11-18,12.2
2426,1987-08-25,10.6
2974,1989-02-24,16.2
3121,1989-07-21,5.3
964,1983-08-23,10.5
2976,1989-02-26,13.2
1446,1984-12-17,16.8
2849,1988-10-21,10.3
1396,1984-10-28,10.7
2083,1986-09-16,8.3
3324,1990-02-09,16.1
2827,1988-09-29,8.7
869,1983-05-20,8.3
2866,1988-11-07,16.8
1648,1985-07-08,7.7
3465,1990-06-30,9.4
2229,1987-02-09,11.9
1368,1984-09-30,4.2
2368,1987-06-28,6.8
1566,1985-04-17,8.1
2599,1988-02-14,14.9
2137,1986-11-09,12.5
1743,1985-10-11,14.7
1148,1984-02-23,16.5
2366,1987-06-26,8.9
2567,1988-01-13,22.4
3460,1990-06-25,7.9
1813,1985-12-20,14.2
2270,1987-03-22,13.0
1290,1984-07-14,0.1
3191,1989-09-29,11.9
3351,1990-03-08,10.3
1272,1984-06-26,7.2
110,1981-04-21,9.0
947,1983-08-06,6.5
1100,1984-01-06,16.3
3346,1990-03-03,19.0
1472,1985-01-13,14.4
623,1982-09-16,10.1
1178,1984-03-24,17.8
112,1981-04-23,9.8
446,1982-03-23,15.6
1339,1984-09-01,9.2
1271,1984-06-25,8.3
2806,1988-09-08,13.0
913,1983-07-03,9.5
3289,1990-01-05,14.3
1434,1984-12-05,13.0
1519,1985-03-01,14.3
30,1981-01-31,15.4
3472,1990-07-07,5.7
985,1983-09-13,7.1
3147,1989-08-16,6.7
3303,1990-01-19,14.5
3176,1989-09-14,6.5
2884,1988-11-25,12.1
2852,1988-10-24,6.3
2156,1986-11-28,11.2
3317,1990-02-02,12.2
2271,1987-03-23,13.3
2352,1987-06-12,5.4
491,1982-05-07,10.1
1177,1984-03-23,16.6
597,1982-08-21,13.2
1526,1985-03-08,13.2
923,1983-07-13,6.7
3125,1989-07-25,7.7
551,1982-07-06,7.0
189,1981-07-09,8.9
3063,1989-05-24,9.2
2033,1986-07-28,6.2
3538,1990-09-11,14.6
927,1983-07-17,4.1
3425,1990-05-21,5.8
1680,1985-08-09,7.2
3265,1989-12-12,14.8
2288,1987-04-09,10.1
156,1981-06-06,7.1
3166,1989-09-04,8.6
3557,1990-09-30,10.0
2059,1986-08-23,12.4
2630,1988-03-16,14.5
1864,1986-02-09,16.0
2091,1986-09-24,8.6
2552,1987-12-29,14.3
149,1981-05-30,11.8
1213,1984-04-28,12.5
2777,1988-08-10,9.1
41,1981-02-11,13.7
573,1982-07-28,4.5
822,1983-04-03,7.8
770,1983-02-10,15.9
3424,1990-05-20,8.7
578,1982-08-02,8.3
194,1981-07-14,7.0
1193,1984-04-08,9.0
636,1982-09-29,6.3
808,1983-03-20,15.5
2332,1987-05-23,9.5
1297,1984-07-21,5.8
109,1981-04-20,10.6
874,1983-05-25,11.9
3514,1990-08-18,7.7
605,1982-08-29,14.2
337,1981-12-04,11.5
2215,1987-01-26,15.7
3230,1989-11-07,11.0
3342,1990-02-27,17.3
3082,1989-06-12,8.8
160,1981-06-10,11.0
433,1982-03-10,9.0
2718,1988-06-12,6.5
1724,1985-09-22,8.7
1961,1986-05-17,13.4
1789,1985-11-26,16.0
292,1981-10-20,11.2
3290,1990-01-06,15.3
2696,1988-05-21,8.2
1478,1985-01-19,11.4
2255,1987-03-07,10.4
944,1983-08-03,8.3
2935,1989-01-16,19.4
2407,1987-08-06,9.0
2605,1988-02-20,13.5
3349,1990-03-06,17.2
2813,1988-09-15,6.8
592,1982-08-16,8.2
565,1982-07-20,0.2
889,1983-06-09,8.3
196,1981-07-16,6.3
1672,1985-08-01,7.0
437,1982-03-14,17.2
650,1982-10-13,13.1
622,1982-09-15,6.7
2914,1988-12-25,15.8
3223,1989-10-31,8.0
3137,1989-08-06,7.6
771,1983-02-11,16.8
300,1981-10-28,12.5
2534,1987-12-11,15.2
507,1982-05-23,8.3
1536,1985-03-18,16.8
2399,1987-07-29,7.0
323,1981-11-20,13.4
3632,1990-12-14,12.5
1438,1984-12-09,10.5
20,1981-01-21,18.2
3481,1990-07-16,11.2
1968,1986-05-24,11.3
3284,1989-12-31,12.7
286,1981-10-14,13.3
2662,1988-04-17,8.6
3506,1990-08-10,6.9
2978,1989-02-28,18.5
228,1981-08-17,10.5
3356,1990-03-13,9.2
16,1981-01-17,20.6
1637,1985-06-27,8.0
3511,1990-08-15,8.4
1601,1985-05-22,5.5
3273,1989-12-20,12.6
1405,1984-11-06,9.9
3348,1990-03-05,19.3
3403,1990-04-29,11.1
347,1981-12-14,12.1
1091,1983-12-28,11.1
3395,1990-04-21,14.5
1527,1985-03-09,15.2
1860,1986-02-05,13.6
2570,1988-01-16,17.6
3380,1990-04-06,17.0
2359,1987-06-19,6.2
3258,1989-12-05,10.6
1732,1985-09-30,7.2
1570,1985-04-21,6.3
2947,1989-01-28,20.1
275,1981-10-03,8.6
1559,1985-04-10,16.2
3402,1990-04-28,8.9
2220,1987-01-31,14.9
3551,1990-09-24,10.6
3590,1990-11-02,11.8
1688,1985-08-17,8.8
3215,1989-10-23,12.4
131,1981-05-12,10.6
2443,1987-09-11,9.0
2970,1989-02-20,15.0
966,1983-08-25,13.0
1562,1985-04-13,18.2
40,1981-02-10,15.0
440,1982-03-17,15.7
2620,1988-03-06,14.2
997,1983-09-25,7.6
423,1982-02-28,13.9
108,1981-04-19,13.8
2453,1987-09-21,5.3
2013,1986-07-08,5.7
2600,1988-02-15,13.2
276,1981-10-04,6.2
1282,1984-07-06,2.1
2779,1988-08-12,4.8
3435,1990-05-31,9.8
1208,1984-04-23,9.3
3399,1990-04-25,13.7
2204,1987-01-15,12.0
1051,1983-11-18,9.8
1717,1985-09-15,8.2
1097,1984-01-03,17.1
734,1983-01-05,14.8
2880,1988-11-21,13.0
193,1981-07-13,6.1
1776,1985-11-13,15.5
621,1982-09-14,6.7
2242,1987-02-22,10.5
1712,1985-09-10,12.8
71,1981-03-13,11.8
1653,1985-07-13,5.8
45,1981-02-15,22.1
3503,1990-08-07,7.7
924,1983-07-14,8.4
2525,1987-12-02,11.1
1549,1985-03-31,14.3
2735,1988-06-29,9.4
902,1983-06-22,6.6
2702,1988-05-27,10.9
2554,1987-12-31,16.7
1803,1985-12-10,14.7
2757,1988-07-21,5.6
1948,1986-05-04,10.0
907,1983-06-27,3.9
3493,1990-07-28,7.3
1490,1985-01-31,15.2
299,1981-10-27,13.2
1509,1985-02-19,10.9
463,1982-04-09,10.1
2602,1988-02-17,13.6
2690,1988-05-15,13.5
2007,1986-07-02,8.0
3556,1990-09-29,8.7
2739,1988-07-03,4.9
2386,1987-07-16,5.4
2339,1987-05-30,10.8
2163,1986-12-05,13.1
1636,1985-06-26,8.3
2432,1987-08-31,6.1
1856,1986-02-01,14.6
1853,1986-01-29,15.8
2998,1989-03-20,17.1
2569,1988-01-15,20.9
220,1981-08-09,7.0
2391,1987-07-21,7.0
3409,1990-05-05,16.0
1933,1986-04-19,12.0
2438,1987-09-06,7.6
1700,1985-08-29,3.6
1955,1986-05-11,6.9
2952,1989-02-02,14.4
3008,1989-03-30,9.7
1943,1986-04-29,6.9
2187,1986-12-29,13.2
26,1981-01-27,19.4
2119,1986-10-22,12.6
2149,1986-11-21,8.9
858,1983-05-09,11.2
2037,1986-08-01,9.3
1136,1984-02-11,15.8
2098,1986-10-01,11.0
37,1981-02-07,14.6
3455,1990-06-20,8.3
3065,1989-05-26,9.0
3053,1989-05-14,11.4
1842,1986-01-18,13.1
2466,1987-10-04,11.3
2252,1987-03-04,12.5
1137,1984-02-12,16.6
346,1981-12-13,9.7
3428,1990-05-24,10.0
2317,1987-05-08,7.1
1301,1984-07-25,5.4
1910,1986-03-27,18.0
2888,1988-11-29,10.3
3150,1989-08-19,9.0
3239,1989-11-16,13.8
1869,1986-02-14,19.5
113,1981-04-24,11.5
82,1981-03-24,13.4
1453,1984-12-24,16.5
1805,1985-12-12,14.1
1238,1984-05-23,9.3
1742,1985-10-10,10.7
1538,1985-03-20,18.4
2410,1987-08-09,8.7
3463,1990-06-28,3.7
954,1983-08-13,5.8
2394,1987-07-24,1.5
3013,1989-04-04,14.2
1841,1986-01-17,11.6
1705,1985-09-03,8.5
235,1981-08-24,6.6
1796,1985-12-03,15.0
2450,1987-09-18,9.2
2999,1989-03-21,17.3
3263,1989-12-10,18.7
2419,1987-08-18,4.2
2063,1986-08-27,7.5
242,1981-08-31,6.2
2379,1987-07-09,5.8
1055,1983-11-22,16.2
2898,1988-12-09,20.2
2434,1987-09-02,5.8
1495,1985-02-05,15.7
953,1983-08-12,7.6
1122,1984-01-28,10.6
2297,1987-04-18,10.4
2846,1988-10-18,12.5
1256,1984-06-10,5.0
2408,1987-08-07,5.3
2343,1987-06-03,10.0
3183,1989-09-21,7.2
3275,1989-12-22,11.8
2917,1988-12-28,12.9
550,1982-07-05,3.9
3083,1989-06-13,6.2
1289,1984-07-13,0.7
1626,1985-06-16,7.7
731,1983-01-02,15.0
713,1982-12-15,15.3
3440,1990-06-05,10.4
2828,1988-09-30,12.4
2329,1987-05-20,10.0
259,1981-09-17,10.7
1329,1984-08-22,6.8
1965,1986-05-21,10.4
3576,1990-10-19,10.9
3384,1990-04-10,14.7
2775,1988-08-08,6.8
3646,1990-12-28,13.6
3496,1990-07-31,5.0
1754,1985-10-22,10.0
1053,1983-11-20,10.8
1129,1984-02-04,15.6
1071,1983-12-08,12.1
2378,1987-07-08,4.1
3207,1989-10-15,11.2
543,1982-06-28,7.3
2346,1987-06-06,6.6
3292,1990-01-08,14.8
3314,1990-01-30,16.4
169,1981-06-19,6.3
1817,1985-12-24,13.1
1551,1985-04-02,11.9
3067,1989-05-28,10.3
3204,1989-10-12,11.0
481,1982-04-27,6.9
1340,1984-09-02,11.3
65,1981-03-07,11.4
1554,1985-04-05,17.5
3056,1989-05-17,8.1
1209,1984-04-24,11.1
526,1982-06-11,8.2
3513,1990-08-17,7.4
2181,1986-12-23,9.7
1656,1985-07-16,6.2
456,1982-04-02,12.3
3279,1989-12-26,16.0
1448,1984-12-19,11.3
2032,1986-07-27,5.4
1500,1985-02-10,15.3
3300,1990-01-16,10.7
1966,1986-05-22,10.0
1594,1985-05-15,10.8
827,1983-04-08,5.7
2350,1987-06-10,13.0
1542,1985-03-24,16.5
136,1981-05-17,9.8
680,1982-11-12,9.0
2468,1987-10-06,12.0
559,1982-07-14,5.6
1825,1986-01-01,12.9
1638,1985-06-28,10.2
1760,1985-10-28,11.9
3407,1990-05-03,12.6
749,1983-01-20,11.6
1577,1985-04-28,10.5
2071,1986-09-04,11.3
611,1982-09-04,5.0
2342,1987-06-02,9.7
2873,1988-11-14,7.5
1110,1984-01-16,18.2
3606,1990-11-18,10.7
2208,1987-01-19,11.6
1068,1983-12-05,12.0
1778,1985-11-15,10.0
2847,1988-10-19,8.2
2145,1986-11-17,15.3
3573,1990-10-16,14.6
2374,1987-07-04,4.1
2325,1987-05-16,12.2
3443,1990-06-08,6.6
2563,1988-01-09,16.5
1502,1985-02-12,15.6
1047,1983-11-14,12.5
1589,1985-05-10,12.1
370,1982-01-06,12.5
